agency,year,1,2,3,4
EMA,2013,0.3037542662116041,0.4880546075085324,0.20477815699658702,0.0034129692832764505
EMA,2014,0.35714285714285715,0.4419642857142857,0.20089285714285715,0.0
EMA,2015,0.39487179487179486,0.40512820512820513,0.2,0.0
EMA,2016,0.39285714285714285,0.4642857142857143,0.1377551020408163,0.00510204081632653
EMA,2017,0.3756906077348066,0.48066298342541436,0.143646408839779,0.0
EMA,2018,0.4,0.42162162162162165,0.1783783783783784,0.0
EMA,2019,0.4405594405594406,0.2937062937062937,0.23076923076923078,0.03496503496503497
EMA,2020,0.37327188940092165,0.5161290322580645,0.11059907834101383,0.0
EMCDDA,1996,0.0,0.0,1.0,0.0
EMCDDA,1997,0.0,0.0,1.0,0.0
EMCDDA,1998,0.0,0.0,1.0,0.0
EMCDDA,1999,0.0,0.07142857142857142,0.9285714285714286,0.0
EMCDDA,2000,0.0,0.0,1.0,0.0
EMCDDA,2001,0.06666666666666667,0.2,0.7333333333333333,0.0
EMCDDA,2002,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.0
EMCDDA,2003,0.0,0.4444444444444444,0.5555555555555556,0.0
EMCDDA,2004,0.0,0.4,0.6,0.0
EMCDDA,2005,0.05,0.6,0.35,0.0
EMCDDA,2006,0.0,0.6923076923076923,0.3076923076923077,0.0
EMCDDA,2007,0.13333333333333333,0.4,0.4666666666666667,0.0
EMCDDA,2008,0.15789473684210525,0.6842105263157895,0.15789473684210525,0.0
EMCDDA,2009,0.2,0.7,0.1,0.0
EMCDDA,2010,0.2916666666666667,0.5833333333333334,0.125,0.0
EMCDDA,2011,0.24,0.64,0.04,0.08
EMCDDA,2012,0.2972972972972973,0.6216216216216216,0.08108108108108109,0.0
EMCDDA,2013,0.1388888888888889,0.8333333333333334,0.027777777777777776,0.0
EMCDDA,2014,0.23333333333333334,0.6,0.16666666666666666,0.0
EMCDDA,2015,0.21621621621621623,0.6486486486486487,0.13513513513513514,0.0
EMCDDA,2016,0.20930232558139536,0.6511627906976745,0.13953488372093023,0.0
EMCDDA,2017,0.11363636363636363,0.7954545454545454,0.09090909090909091,0.0
EMCDDA,2018,0.13793103448275862,0.7068965517241379,0.15517241379310345,0.0
EMCDDA,2019,0.26,0.5,0.22,0.02
EMCDDA,2020,0.3076923076923077,0.5769230769230769,0.11538461538461539,0.0
EMSA,2010,0.0,1.0,0.0,0.0
EMSA,2011,0.0,1.0,0.0,0.0
EMSA,2012,0.14285714285714285,0.8571428571428571,0.0,0.0
EMSA,2013,0.0,1.0,0.0,0.0
EMSA,2014,0.0,0.9583333333333334,0.041666666666666664,0.0
EMSA,2015,0.0,0.9130434782608695,0.08695652173913043,0.0
EMSA,2016,0.03571428571428571,0.8928571428571429,0.07142857142857142,0.0
EMSA,2017,0.0,0.9523809523809523,0.047619047619047616,0.0
EMSA,2018,0.07142857142857142,0.8214285714285714,0.10714285714285714,0.0
EMSA,2019,0.030303030303030304,0.9393939393939394,0.030303030303030304,0.0
EMSA,2020,0.025,0.925,0.05,0.0
ENISA,2008,0.0,1.0,0.0,0.0
ENISA,2009,0.024390243902439025,0.9024390243902439,0.07317073170731707,0.0
ENISA,2010,0.03571428571428571,0.8690476190476191,0.05952380952380952,0.03571428571428571
ENISA,2011,0.07317073170731707,0.7682926829268293,0.12195121951219512,0.036585365853658534
ENISA,2012,0.05454545454545454,0.7636363636363637,0.11818181818181818,0.06363636363636363
ENISA,2013,0.07407407407407407,0.8,0.0962962962962963,0.02962962962962963
ENISA,2014,0.05223880597014925,0.7686567164179104,0.12686567164179105,0.05223880597014925
ENISA,2015,0.04201680672268908,0.8235294117647058,0.10084033613445378,0.03361344537815126
ENISA,2016,0.034482758620689655,0.8275862068965517,0.10344827586206896,0.034482758620689655
ENISA,2017,0.06382978723404255,0.7340425531914894,0.11702127659574468,0.0851063829787234
ENISA,2018,0.056818181818181816,0.8181818181818182,0.06818181818181818,0.056818181818181816
ENISA,2019,0.047619047619047616,0.7333333333333333,0.1523809523809524,0.06666666666666667
ENISA,2020,0.02,0.85,0.11,0.02
ERA,2017,0.0,0.8571428571428571,0.14285714285714285,0.0
ERA,2018,0.0,0.6818181818181818,0.2727272727272727,0.045454545454545456
