	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_max_depth	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score
0	0.2405071258544922	0.03059155234257297	0.015028119087219238	0.0064011794414269504	10	10	{'max_depth': 10, 'n_estimators': 10}	0.46176672684648756	0.5478225478225479	0.5832315832315831	0.5094575025688688	0.6096803992078382	0.610437395862497	0.573657454218627	0.5811212187434646	0.442395608764124	0.5236897303277237	0.5443260167593762	0.055883372053906186	31	0.732910488404873	0.6776329230068141	0.7280801192793489	0.680934275518604	0.7169620681092593	0.7165062165029242	0.7058238383757208	0.7063305168815399	0.7203952646116306	0.6927964121226647	0.7078372122813379	0.017953217922325994
1	0.3925163984298706	0.0614911161875489	0.02871558666229248	0.016871525668731638	10	20	{'max_depth': 10, 'n_estimators': 20}	0.48772912033131377	0.49156256848564545	0.4822174738841406	0.5048917985088197	0.5079198702073071	0.5084412928867287	0.6356513212234605	0.5607506105569193	0.44317983603697886	0.5336576892332288	0.5156001581354543	0.04971471794883019	36	0.7291026315628208	0.6928468855677873	0.6989869430705086	0.7053862403765137	0.6898317114387725	0.7279263373446963	0.7087666067677806	0.7084896502841183	0.7073752310881402	0.7271158341187011	0.7095828071619839	0.013534144258644402
2	0.6965488195419312	0.1258128768766474	0.038836097717285155	0.010157326015938132	10	50	{'max_depth': 10, 'n_estimators': 50}	0.45533756497739547	0.5138560807457129	0.5018484967607181	0.5276181200838735	0.5087672237598018	0.5492895266644142	0.4963133974761883	0.5349391349391348	0.4319794523529668	0.516110469012067	0.5036059466772274	0.0338376580341235	40	0.7199720233619881	0.725143085842325	0.7251692948301531	0.7345239431090524	0.7350411677535686	0.6920610597875926	0.7096505089856119	0.7142179325446104	0.7305620846908903	0.7190229966016317	0.7205364097507424	0.012333364656491479
3	1.2214914560317993	0.1382569477322231	0.0707385778427124	0.022804243940007938	10	100	{'max_depth': 10, 'n_estimators': 100}	0.4977023475029457	0.5231479100799771	0.49415324840288416	0.517574372225535	0.550056712305698	0.544919629655985	0.5455435635468369	0.5513924180590847	0.46118677355999876	0.5255287057539874	0.5211205681092933	0.02796495984760615	32	0.706413844339262	0.7033749559003546	0.7034843012992734	0.6936511313925708	0.7035515177593316	0.7012788845825965	0.7234696164720523	0.7060380506264965	0.7122560374613286	0.7064789107819789	0.7059997250615245	0.007339793747752266
4	1.4028778314590453	0.09634495140505256	0.08515753746032714	0.028033633308706066	10	120	{'max_depth': 10, 'n_estimators': 120}	0.5019441674975075	0.49993203653253276	0.46090534979423864	0.5230679920335093	0.5071756621052396	0.537652122132723	0.5966422466422466	0.5353575199729046	0.42032240246525965	0.494867753733002	0.5077867252909164	0.04460032221071122	39	0.699444814469864	0.7210630416570136	0.7065797899688396	0.7152556591194736	0.6970746914488944	0.698846454868137	0.6972090860213013	0.7019787227284557	0.7275903480948198	0.68377697048963	0.7048819578866429	0.01235985531227092
5	1.8323995351791382	0.11555107810464545	0.09865474700927734	0.01912687702878782	10	150	{'max_depth': 10, 'n_estimators': 150}	0.520320939766739	0.5253134173437779	0.510854299586694	0.5230679920335093	0.5117532040608963	0.5057036361384186	0.5531138212297632	0.5049535769616905	0.4145529542960093	0.5205611187754045	0.5090194960192902	0.03410335336628185	38	0.7160442292698012	0.7089074675794007	0.7067963428829741	0.7017729230564758	0.7195487779478893	0.6874143477941872	0.7103342222310797	0.7047025439929891	0.7092198786625983	0.6916247546781881	0.7056365488095584	0.009449874634323412
6	2.5866360902786254	0.38046308893893294	0.134505558013916	0.06355676807784459	10	200	{'max_depth': 10, 'n_estimators': 200}	0.4835908939847125	0.5316239316239316	0.4976591174393373	0.5071692571692572	0.5329635979252348	0.5008031763350912	0.5999402488764191	0.5580930580930581	0.3984017788895837	0.5582573454913881	0.5168502405828013	0.05162666091769323	35	0.7003439941757784	0.7038350092609581	0.7088004793192119	0.6901051775074492	0.7151966110065904	0.6953936256769675	0.71581298812464	0.6980939846561133	0.7160525947440853	0.7044636033121424	0.7048098067783937	0.008615613007403563
7	2.957712006568909	0.2686540017299137	0.1792457103729248	0.05298617802393018	10	250	{'max_depth': 10, 'n_estimators': 250}	0.5239311052350194	0.5066024172923634	0.5052706552706552	0.5161854143234421	0.5117532040608963	0.5505901505901506	0.5788721178800786	0.5671334727090122	0.4366009522803948	0.5079455800609647	0.5204885069702977	0.037704157264824414	33	0.7303427384473687	0.6897460613578754	0.7271813906329451	0.6974572374980612	0.7150409839628415	0.6897896529995275	0.7193148389737172	0.7038065954064406	0.7137805434053454	0.6987059151485112	0.7085165957832633	0.013983591185556877
8	3.62393696308136	0.18321392522356889	0.17182350158691406	0.022119427713908416	10	300	{'max_depth': 10, 'n_estimators': 300}	0.5319266689726737	0.5144155531479475	0.4616429993142322	0.529759692803171	0.48793867186008333	0.5479869252011202	0.5762715342547274	0.5759911438007258	0.43793970579684866	0.5341489302273615	0.5198021825378891	0.04326731549528406	34	0.7061873063278348	0.7133259778823433	0.7090146291922276	0.7078700634177428	0.7274662511629786	0.7002788975083233	0.7111142853239125	0.7156958615239337	0.7124024359834936	0.7109344010828917	0.7114290109405681	0.006712560333922971
9	11.813887763023377	0.44155777544058367	0.6017564535140991	0.07792071043709817	10	1000	{'max_depth': 10, 'n_estimators': 1000}	0.5203912909159844	0.48173498031794687	0.47949057115723787	0.5062653502308675	0.5154107412341654	0.546290056302572	0.5878852432043921	0.5146388469917882	0.4352263667332161	0.5196036914531186	0.5106937138541289	0.03868339717712584	37	0.7179841326381844	0.7181410761355269	0.7011758919632693	0.6920210104698236	0.7146758665470201	0.6912694572971371	0.7092758931691848	0.7058162478093355	0.7145149393922611	0.7031004068604558	0.7067974922282199	0.009419586061644142
