	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_C	param_kernel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score
0	2.839310550689697	0.2727301659014541	0.19987075328826903	0.02579044088602663	10	linear	{'C': 10, 'kernel': 'linear'}	0.6786466358500257	0.6968193919013592	0.7398624855228629	0.7528548080272218	0.7153984008822719	0.7581804207510423	0.6984792984792985	0.7408233899282493	0.6826987826987827	0.6648103885504417	0.7128574002591556	0.031660982579091515	1	0.9943302930434035	0.9943074003795066	0.9933726151681294	0.9952611954258066	0.9943256458911107	0.9971669906209266	0.9933724317974792	0.9952611637046871	0.9962095311230912	0.9933724317974792	0.9946979698951619	0.001212943303812961
1	3.4997671604156495	0.5460176302396472	0.2227083921432495	0.05672765480317771	10	rbf	{'C': 10, 'kernel': 'rbf'}	0.6804129640965025	0.7154941924172693	0.6762328837080934	0.7075150821986265	0.700882853056766	0.7544652777417789	0.7638176638176639	0.7372349872349871	0.6858550400217066	0.6704573399310242	0.7092368284224418	0.031450146762230936	3	0.9971643776424939	0.9971670679862865	0.9981109379235564	0.9981115895489711	0.9971670679862865	0.9971669906209266	0.9971669906209266	0.9981115026655825	0.9981109568746312	0.9971669906209266	0.9975444472490587	0.00046279052648642984
2	3.735982131958008	0.7841089672917905	0.257373309135437	0.05961178284231804	100	linear	{'C': 100, 'kernel': 'linear'}	0.6438806955756108	0.6687612313746615	0.7239548154580835	0.7292759550010496	0.7166041366041366	0.7193761350194099	0.7154694461207871	0.7050114208923142	0.6869028262770114	0.6460243460243461	0.695526100834741	0.030588316767489396	8	0.9990524569197201	1.0	0.99905335591695	0.99905335591695	0.99905335591695	0.9990533606759643	0.9990533606759643	1.0	0.9990533606759643	0.9990533606759643	0.9992425967374426	0.0003787017252173764
3	3.2627920389175413	0.45816040670100133	0.2086185932159424	0.041545212411944525	100	rbf	{'C': 100, 'kernel': 'rbf'}	0.6866668713665766	0.694594391962813	0.6470731641249289	0.7604621351456794	0.700882853056766	0.7544652777417789	0.7638176638176639	0.7277629277629278	0.6905176938071674	0.6704573399310242	0.7096700318717326	0.03808178130331294	2	0.9990524569197201	1.0	1.0	0.99905335591695	0.99905335591695	0.9990533606759643	0.9990533606759643	1.0	0.9990533606759643	0.9990533606759643	0.9993372611457476	0.00043386450405863566
4	2.6503104686737062	0.2738621467842648	0.1800079584121704	0.020458712789657402	1000	linear	{'C': 1000, 'kernel': 'linear'}	0.6673527316673856	0.6719199452899373	0.670177032241614	0.6926353621268876	0.6844195455960163	0.7096224074160775	0.6870616705390385	0.7050114208923142	0.6773435306002356	0.6384080514348714	0.6803951697804378	0.019465936776510064	9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
5	3.4971718072891234	0.47227367307108925	0.25635063648223877	0.0768287216739398	1000	rbf	{'C': 1000, 'kernel': 'rbf'}	0.6804129640965025	0.694594391962813	0.6470731641249289	0.7651087671154561	0.69010619010619	0.7544652777417789	0.7638176638176639	0.7277629277629278	0.6996893871893871	0.6643672953902754	0.7087398029307923	0.03983346203511192	4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
6	3.1168155908584594	0.685409576239864	0.19560422897338867	0.035509990555326706	10000.0	linear	{'C': 10000.0, 'kernel': 'linear'}	0.6673527316673856	0.6719199452899373	0.670177032241614	0.6926353621268876	0.6844195455960163	0.7096224074160775	0.6870616705390385	0.7050114208923142	0.6773435306002356	0.6384080514348714	0.6803951697804378	0.019465936776510064	9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
7	2.842198705673218	0.29436073059953666	0.20306971073150634	0.028338022267892785	10000.0	rbf	{'C': 10000.0, 'kernel': 'rbf'}	0.6804129640965025	0.694594391962813	0.6470731641249289	0.7651087671154561	0.69010619010619	0.7544652777417789	0.7638176638176639	0.7277629277629278	0.6996893871893871	0.6643672953902754	0.7087398029307923	0.03983346203511192	4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
8	2.877185273170471	0.17853008159077838	0.19802122116088866	0.035354803621962826	100000.0	linear	{'C': 100000.0, 'kernel': 'linear'}	0.6673527316673856	0.6719199452899373	0.670177032241614	0.6926353621268876	0.6844195455960163	0.7096224074160775	0.6870616705390385	0.7050114208923142	0.6773435306002356	0.6384080514348714	0.6803951697804378	0.019465936776510064	9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
9	3.5227127075195312	0.4795256320120696	0.22586147785186766	0.05815964787381786	100000.0	rbf	{'C': 100000.0, 'kernel': 'rbf'}	0.6804129640965025	0.694594391962813	0.6470731641249289	0.7651087671154561	0.69010619010619	0.7544652777417789	0.7638176638176639	0.7277629277629278	0.6996893871893871	0.6643672953902754	0.7087398029307923	0.03983346203511192	4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
